circuit,initial_size,none_size,none_time,sifting_size,sifting_time,group_size,group_time,iggroup_size,iggroup_time
toffoli_double_4,11,11,0.000106,10,0.009549,10,0.010634,10,0.011596
urf1_149,649,649,1.87792,606,3.50199,606,3.28203,606,3.27967
urf1_150,649,649,0.14323,606,0.349711,606,0.370852,608,0.372414
urf1_151,649,649,0.125094,606,0.409017,606,0.371143,606,0.372817
urf1_278,658,658,1.71278,632,3.04707,632,2.74902,632,2.69742
urf2_152,325,325,0.338874,318,0.723257,318,0.75932,321,0.72221
urf2_153,325,325,0.024195,318,0.133882,318,0.117095,318,0.111454
urf2_154,325,325,0.023489,318,0.133466,318,0.117693,318,0.117775
urf2_161,325,325,0.25902,318,0.503853,318,0.496584,321,0.548616
urf2_277,341,341,0.340045,322,0.636453,322,0.662648,322,0.654183
urf3_155,1113,1113,8.93358,1028,14.929,1028,15.2249,1012,14.4478
urf3_156,1113,1113,0.384579,1041,1.04245,1041,1.05141,991,1.01342
urf3_157,1113,1113,0.390802,1041,1.08006,1041,1.12335,991,0.995102
urf3_279,1209,1209,7.99913,1007,12.9551,1007,12.5919,1018,12.3481
urf4_187,1770,1770,9.95194,1757,18.328,1757,18.4133,1730,16.8691
urf5_158,394,394,1.37074,244,2.52081,244,2.50567,240,2.5726
urf5_159,394,394,0.01751,244,0.114342,244,0.115221,240,0.132829
urf5_280,402,402,0.994089,274,1.61343,274,1.59518,359,1.56926
urf6_160,2371,2371,22.8063,2316,29.7874,2316,30.1231,2350,32.8108
urf6_281,2377,2377,8.32486,2290,10.3633,2290,10.0945,2337,11.2511
wim_266,62,62,0.000253,46,0.109714,46,0.115701,46,0.103057
x2_267,159,159,0.000995,101,0.271816,101,0.266089,101,0.233364
xor5_254,12,12,0.000116,12,0.027404,12,0.028804,12,0.03119
z4_268,83,83,0.000717,54,0.162623,54,0.119928,55,0.097786
z4ml_269,83,83,0.000983,54,0.159924,54,0.121933,55,0.103505
