File,Initial_DD_Size,Initial_Time,Sifting_DD_Size,Sifting_Time
urf1_278.real,658,1.52186s,632,0.137208s
urf2_152.real,325,0.261835s,318,0.087512s
urf2_153.real,325,0.020816s,318,0.084113s
urf2_154.real,325,0.02128s,318,0.084958s
urf2_161.real,325,0.182885s,318,0.099785s
urf2_277.real,341,0.265372s,322,0.097167s
urf3_155.real,1113,7.90261s,1012,0.265415s
urf3_156.real,1113,0.351977s,1012,0.293743s
urf3_157.real,1113,0.316377s,1012,0.338496s
urf3_279.real,1209,7.16292s,1010,0.252898s
urf4_187.real,1770,8.52949s,1752,0.265981s
urf5_158.real,394,1.47062s,240,0.155452s
urf5_159.real,394,0.014647s,240,0.148077s
urf5_280.real,402,0.977815s,259,0.190252s
urf6_160.real,2371,17.961s,2297,1.56556s
urf6_281.real,2377,7.00805s,2295,2.937s
wim_266.real,62,0.000284s,46,0.171571s
x2_267.real,159,0.000944s,92,0.733463s
xor5_254.real,12,0.000126s,12,0.018178s
z4_268.real,83,0.000642s,47,0.229871s
z4ml_269.real,83,0.000617s,47,0.231018s
