source,type,n,round,dd_size,purity,trace,dense_nodes
Clifford_5_42,Clifford,5,8,46,0.057236,1.000000,1024
Clifford_5_42,Clifford,5,9,46,0.049218,1.000000,1024
Clifford_5_42,Clifford,5,10,46,0.043843,1.000000,1024
QFT_6,QFT,6,0,7,1.000000,1.000000,4096
QFT_6,QFT,6,1,7,0.670529,1.000000,4096
QFT_6,QFT,6,2,7,0.462562,1.000000,4096
QFT_6,QFT,6,3,7,0.328159,1.000000,4096
QFT_6,QFT,6,4,7,0.239263,1.000000,4096
QFT_6,QFT,6,5,7,0.179129,1.000000,4096
QFT_6,QFT,6,6,7,0.137559,1.000000,4096
QFT_6,QFT,6,7,7,0.108219,1.000000,4096
QFT_6,QFT,6,8,7,0.087101,1.000000,4096
QFT_6,QFT,6,9,7,0.071618,1.000000,4096
QFT_6,QFT,6,10,7,0.060068,1.000000,4096
Clifford_6_42,Clifford,6,0,46,1.000000,1.000000,4096
Clifford_6_42,Clifford,6,1,78,0.544956,1.000000,4096
Clifford_6_42,Clifford,6,2,78,0.306471,1.000000,4096
Clifford_6_42,Clifford,6,3,78,0.179075,1.000000,4096
Clifford_6_42,Clifford,6,4,78,0.109634,1.000000,4096
Clifford_6_42,Clifford,6,5,78,0.070977,1.000000,4096
Clifford_6_42,Clifford,6,6,78,0.048983,1.000000,4096
Clifford_6_42,Clifford,6,7,78,0.036189,1.000000,4096
Clifford_6_42,Clifford,6,8,78,0.028581,1.000000,4096
Clifford_6_42,Clifford,6,9,78,0.023956,1.000000,4096
Clifford_6_42,Clifford,6,10,78,0.021085,1.000000,4096
QFT_7,QFT,7,0,8,1.000000,1.000000,16384
QFT_7,QFT,7,1,8,0.627317,1.000000,16384
QFT_7,QFT,7,2,8,0.406785,1.000000,16384
QFT_7,QFT,7,3,8,0.272540,1.000000,16384
QFT_7,QFT,7,4,8,0.188519,1.000000,16384
QFT_7,QFT,7,5,8,0.134491,1.000000,16384
QFT_7,QFT,7,6,8,0.098833,1.000000,16384
QFT_7,QFT,7,7,8,0.074706,1.000000,16384
QFT_7,QFT,7,8,8,0.057991,1.000000,16384
QFT_7,QFT,7,9,8,0.046152,1.000000,16384
QFT_7,QFT,7,10,8,0.037591,1.000000,16384
Clifford_7_42,Clifford,7,0,62,1.000000,1.000000,16384
Clifford_7_42,Clifford,7,1,112,0.492300,1.000000,16384
Clifford_7_42,Clifford,7,2,112,0.251146,1.000000,16384
Clifford_7_42,Clifford,7,3,112,0.133781,1.000000,16384
Clifford_7_42,Clifford,7,4,112,0.075135,1.000000,16384
Clifford_7_42,Clifford,7,5,112,0.044992,1.000000,16384
Clifford_7_42,Clifford,7,6,112,0.029030,1.000000,16384
Clifford_7_42,Clifford,7,7,112,0.020314,1.000000,16384
Clifford_7_42,Clifford,7,8,112,0.015404,1.000000,16384
Clifford_7_42,Clifford,7,9,112,0.012554,1.000000,16384
Clifford_7_42,Clifford,7,10,112,0.010849,1.000000,16384
QFT_8,QFT,8,0,9,1.000000,1.000000,65536
QFT_8,QFT,8,1,9,0.586890,1.000000,65536
QFT_8,QFT,8,2,9,0.357734,1.000000,65536
QFT_8,QFT,8,3,9,0.226349,1.000000,65536
QFT_8,QFT,8,4,9,0.148537,1.000000,65536
QFT_8,QFT,8,5,9,0.100977,1.000000,65536
QFT_8,QFT,8,6,9,0.071010,1.000000,65536
QFT_8,QFT,8,7,9,0.051571,1.000000,65536
QFT_8,QFT,8,8,9,0.038610,1.000000,65536
QFT_8,QFT,8,9,9,0.029741,1.000000,65536
QFT_8,QFT,8,10,9,0.023525,1.000000,65536
Clifford_8_42,Clifford,8,0,234,1.000000,1.000000,65536
Clifford_8_42,Clifford,8,1,502,0.444090,1.000000,65536
Clifford_8_42,Clifford,8,2,502,0.204411,1.000000,65536
Clifford_8_42,Clifford,8,3,502,0.098211,1.000000,65536
Clifford_8_42,Clifford,8,4,502,0.049773,1.000000,65536
Clifford_8_42,Clifford,8,5,502,0.026999,1.000000,65536
Clifford_8_42,Clifford,8,6,502,0.015948,1.000000,65536
Clifford_8_42,Clifford,8,7,502,0.010410,1.000000,65536
Clifford_8_42,Clifford,8,8,502,0.007541,1.000000,65536
Clifford_8_42,Clifford,8,9,502,0.006006,1.000000,65536
Clifford_8_42,Clifford,8,10,502,0.005158,1.000000,65536
QFT_9,QFT,9,0,10,1.000000,1.000000,262144
QFT_9,QFT,9,1,10,0.549068,1.000000,262144
QFT_9,QFT,9,2,10,0.314597,1.000000,262144
QFT_9,QFT,9,3,10,0.187986,1.000000,262144
QFT_9,QFT,9,4,10,0.117035,1.000000,262144
QFT_9,QFT,9,5,10,0.075814,1.000000,262144
QFT_9,QFT,9,6,10,0.051019,1.000000,262144
QFT_9,QFT,9,7,10,0.035600,1.000000,262144
QFT_9,QFT,9,8,10,0.025706,1.000000,262144
QFT_9,QFT,9,9,10,0.019166,1.000000,262144
QFT_9,QFT,9,10,10,0.014722,1.000000,262144
Clifford_9_42,Clifford,9,0,238,1.000000,1.000000,262144
